Time,Voltage(CH1),Voltage(CH2)
0.0,-0.2,0.0
8e-10,-0.2,0.0
1.6e-09,-0.24,-0.004
2.4e-09,-0.2,-0.008
3.2e-09,-0.2,-0.004
4e-09,-0.2,0.0
4.8e-09,-0.16,0.0
5.6000000000000005e-09,-0.16,0.0
6.4e-09,-0.16,0.0
7.2e-09,-0.2,0.0
8e-09,-0.12,0.0
8.800000000000001e-09,-0.12,0.0
9.6e-09,-0.12,0.0
1.04e-08,-0.12,0.0
1.1200000000000001e-08,-0.12,-0.004
1.2e-08,-0.16,0.0
1.28e-08,-0.12,0.0
1.3600000000000001e-08,-0.16,0.0
1.44e-08,-0.16,0.0
1.52e-08,-0.08,0.0
1.6e-08,-0.12,0.0
1.68e-08,-0.12,-0.004
1.7600000000000002e-08,-0.08,0.0
1.84e-08,-0.08,0.0
1.92e-08,-0.08,0.0
2e-08,-0.08,0.0
2.08e-08,-0.08,0.0
2.16e-08,-0.12,-0.004
2.2400000000000002e-08,-0.12,-0.004
2.32e-08,-0.08,-0.008
2.4e-08,-0.08,0.0
2.48e-08,-0.04,-0.004
2.56e-08,-0.08,0.0
2.64e-08,-0.04,-0.004
2.7200000000000002e-08,-0.04,-0.004
2.8000000000000003e-08,-0.04,0.0
2.88e-08,-0.04,0.0
2.96e-08,-0.04,-0.004
3.04e-08,-0.08,-0.004
3.12e-08,-0.04,-0.004
3.2e-08,-0.04,-0.004
3.28e-08,-0.08,-0.008
3.36e-08,-0.04,0.0
3.4400000000000004e-08,-0.04,0.0
3.5200000000000004e-08,0.0,0.0
3.6e-08,-0.04,-0.004
3.68e-08,0.0,-0.004
3.76e-08,0.0,-0.004
3.84e-08,0.04,0.0
3.92e-08,0.0,-0.004
4e-08,-0.04,-0.004
4.08e-08,0.0,-0.008
4.16e-08,0.04,-0.008
4.24e-08,0.0,0.0
4.32e-08,0.0,-0.004
4.4000000000000004e-08,0.0,-0.004
4.4800000000000004e-08,0.04,-0.004
4.5600000000000005e-08,0.0,-0.004
4.64e-08,0.04,-0.004
4.72e-08,0.08,-0.004
4.8e-08,0.08,-0.008
4.88e-08,0.04,-0.008
4.96e-08,0.04,-0.004
5.04e-08,0.08,-0.004
5.12e-08,0.04,-0.008
5.2e-08,0.04,-0.004
5.28e-08,0.08,-0.004
5.3600000000000004e-08,0.08,-0.008
5.4400000000000004e-08,0.08,-0.004
5.5200000000000005e-08,0.12,-0.008
5.6000000000000005e-08,0.08,-0.008
5.68e-08,0.12,-0.008
5.76e-08,0.12,-0.008
5.84e-08,0.16,-0.004
5.92e-08,0.16,-0.008
6.000000000000001e-08,0.12,-0.008
6.08e-08,0.16,-0.012
6.16e-08,0.2,-0.004
6.24e-08,0.08,-0.008
6.32e-08,0.16,-0.012
6.4e-08,0.16,-0.008
6.48e-08,0.16,-0.004
6.56e-08,0.2,-0.008
6.64e-08,0.16,-0.008
6.72e-08,0.2,-0.008
6.8e-08,0.16,-0.008
6.880000000000001e-08,0.2,-0.012
6.96e-08,0.2,-0.004
7.040000000000001e-08,0.2,-0.004
7.12e-08,0.2,-0.008
7.2e-08,0.2,-0.012
7.28e-08,0.2,-0.012
7.36e-08,0.2,-0.012
7.44e-08,0.2,-0.008
7.52e-08,0.24,-0.012
7.6e-08,0.2,-0.008
7.68e-08,0.24,-0.008
7.760000000000001e-08,0.28,-0.012
7.84e-08,0.24,-0.008
7.920000000000001e-08,0.2,-0.008
8e-08,0.24,-0.012
8.080000000000001e-08,0.2,-0.012
8.16e-08,0.28,-0.012
8.24e-08,0.28,-0.008
8.32e-08,0.28,-0.012
8.4e-08,0.24,-0.012
8.48e-08,0.24,-0.008
8.56e-08,0.32,-0.008
8.64e-08,0.28,-0.008
8.72e-08,0.24,-0.008
8.800000000000001e-08,0.32,-0.008
8.88e-08,0.32,-0.012
8.960000000000001e-08,0.32,-0.004
9.04e-08,0.32,-0.012
9.120000000000001e-08,0.32,-0.012
9.2e-08,0.36,-0.012
9.28e-08,0.36,-0.008
9.36e-08,0.32,-0.012
9.44e-08,0.32,-0.012
9.52e-08,0.32,-0.008
9.6e-08,0.36,-0.012
9.68e-08,0.32,-0.012
9.76e-08,0.4,-0.004
9.840000000000001e-08,0.4,-0.012
